"name","brand","file_type","status","file_url"
"Avenue","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13704_Repair-Parts-Only_AVENUE-BOULEVARD_Product_Manual_RevB_Nov2024.pdf"
"Avenue","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/2025-A125_B225-Avenue-Boulevard-Product-Manual-P-13704.pdf"
"Avenue","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13644_Repair-Parts-Only_AVE-BLVD_Product_Manual_RevE_Jan2024.pdf"
"Avenue","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/2023-24-A120_B220-Avenue-Boulevard-Product-Manual-P-13644.pdf"
"Boss XL","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13730_Repair-Parts-Only_BOSS-XL_Product_Manual_RevB_Nov2024.pdf"
"Boss XL","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/2025-9015-Boss-XL-Product-Manual-P-13730.pdf"
"Boss XL","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13692_Repair-Parts-Only_BOSS-XL_Product_Manual_RevB_Jan2024.pdf"
"Boss XL","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/2024-9010-Boss-XL-Product-Manual-P-13692.pdf"
"Boulevard","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13704_Repair-Parts-Only_AVENUE-BOULEVARD_Product_Manual_RevB_Nov2024.pdf"
"Boulevard","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/2025-A125_B225-Avenue-Boulevard-Product-Manual-P-13704.pdf"
"Boulevard","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13644_Repair-Parts-Only_AVE-BLVD_Product_Manual_RevC-Feb2023.pdf"
"Boulevard","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13644_AVE-BLVD_Product_Manual_RevC-Feb2023.pdf"
"Challenger","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13706_Repair-Parts-Only_CHALLENGER_Product_Manual_RevB_Nov2024.pdf"
"Challenger","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/2025-D520-Challenger-Product-Manual-P-13706.pdf"
"Challenger","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13631_Repair-Parts-Only_CHALLENGER_Product_Manual_RevC-Mar2023.pdf"
"Challenger","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13631_CHALLENGER_Product_Manual_RevC-Mar2023.pdf"
"Charger","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13729_Repair-Parts-Only_CHARGER_Product_Manual_RevA_Sep2024.pdf"
"Charger","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/2025-8015-Charger-Product-Manual-P-13729.pdf"
"Charger","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13645_Repair-Parts-Only_CHARGER_Product_Manual_RevB_Nov2022.pdf"
"Charger","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13645_CHARGER_Product_Manual_RevB_Nov2022.pdf"
"XLT","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13705_Repair-Parts-Only_XLT_Product_Manual_RevB_Nov2024.pdf"
"XLT","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/2025-C320-XLT-Product-Manual-P-13705.pdf"
"XLT","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13630_Repair-Parts-Only_XLT_Product_Manual_RevC-Mar2023.pdf"
"XLT","Country clipper","Product manual","ready_for_review","https://www.countryclipper.com/wp-content/uploads/P-13630_XLT_Product_Manual_RevC-Mar2023.pdf"
